0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:09:23 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:12:20 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:12:35 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:13:18 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:13:32 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:14:33 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:14:44 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:15:21 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:15:46 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:15:56 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:16:04 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [20/Jun/2023:13:18:02 +0900] "GET /01_HTML/day02/Ex09_table.html HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [20/Jun/2023:14:57:09 +0900] "GET /pcl/first.txt HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Jun/2023:14:57:19 +0900] "GET /pcl/first.txt HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Jun/2023:14:59:40 +0900] "GET /pcl/first.txt HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Jun/2023:15:00:38 +0900] "GET /pcl/first.txt HTTP/1.1" 404 824
